station_id,actual_mean,predicted_mean,mae,bias,interval_width,coverage,station_lat,station_lng,val_mean,val_sum
5736.09,0.8333333333333334,0.6316414639780609,0.663206991875389,-0.2016918693552725,2.244937121330698,0.6666666666666666,40.729385,-73.97772,2.6011906,437.0
5746.02,0.3333333333333333,0.3604003042394955,0.5223393723936169,0.02706697090616217,1.9424609722582697,0.3333333333333333,40.72971,-73.986595,2.1845238,367.0
5746.14,0.5,0.4349515645953943,0.8016978467615749,-0.0650484354046057,1.8794403884703001,0.16666666666666666,40.729538,-73.98427,2.3809524,400.0
5755.01,0.6666666666666666,0.10334624513113037,0.62326301652926,-0.5633204215355363,1.4571007379062735,0.3333333333333333,40.72904,-73.99405,1.4821428,249.0
5755.09,0.3333333333333333,0.004647039679336255,0.3295580018379951,-0.3286862936539971,1.4207678018523968,0.3333333333333333,40.730495,-73.99572,0.82738096,139.0
5755.14,0.3333333333333333,0.5858406832121545,0.26038140160865925,0.25250734987882123,2.327524708765035,0.3333333333333333,40.731438,-73.9949,1.4880953,250.0
5763.03,0.0,9.885599987000269e-17,9.885599987000269e-17,9.885599987000269e-17,8.009382574664437e-14,0.0,40.730385,-74.00215,0.0,0.0
5779.08,2.0,1.0293263186564825,1.278839984491545,-0.9706736813435176,3.1009796145853366,0.16666666666666666,40.73222,-73.98166,3.0119047,506.0
5779.09,1.1666666666666667,0.29264779520599404,0.875288086363677,-0.8740188714606726,1.5558640854173216,0.5,40.729668,-73.98068,1.6964285,285.0
5779.10,0.8333333333333334,0.6933021202761059,0.4172756130574271,-0.14003121305722743,2.463096943371435,0.5,40.73139,-73.982864,2.75,462.0
5779.11,2.0,0.8175909184174088,1.6282540100061549,-1.1824090815825912,3.0025186191333284,0.3333333333333333,40.730312,-73.98047,3.6309524,610.0
5788.13,0.5,0.5910483610855408,0.8077170305570386,0.09104836108554082,2.7268450681359595,0.16666666666666666,40.730206,-73.99103,3.172619,533.0
5788.15,1.1666666666666667,0.6747262643875729,0.8780880851930609,-0.4919404022790938,2.5777487299204296,0.5,40.732647,-73.99011,2.732143,459.0
5788.16,0.6666666666666666,0.00023748290853594275,0.6665868379501868,-0.6664291837581308,0.9338408238044735,0.3333333333333333,40.73127,-73.98849,1.4821428,249.0
5805.07,1.3333333333333333,0.30714185039081104,1.247226780657608,-1.0261914829425223,1.8046925749023046,0.16666666666666666,40.73214,-74.00364,2.0,336.0
5820.08,0.5,0.7095001676983278,0.3966506659295798,0.20950016769832777,2.569366620263016,0.3333333333333333,40.73154,-73.985306,2.5238094,424.0
5838.09,0.8333333333333334,0.48016240021024714,0.6155857227289138,-0.3531709331230862,2.1394105212271675,0.5,40.732243,-74.00027,2.3392856,393.0
5847.01,0.16666666666666666,0.04888469711446911,0.11961012815936556,-0.11778196955219755,1.4168029359108896,0.16666666666666666,40.732914,-74.00711,2.1547618,362.0
5854.09,0.5,0.7028975622961298,0.23293792576684305,0.20289756229612976,2.5196154279641783,0.5,40.73381,-73.980545,3.375,567.0
5863.07,0.0,0.25506387527760427,0.25506387527760427,0.25506387527760427,1.7692120325828664,0.0,40.734234,-73.98692,1.8869047,317.0
5880.02,0.5,0.5452158664508412,0.13307102668719986,0.045215866450841226,2.43325380415407,0.5,40.734013,-74.00294,2.702381,454.0
5886.13,1.6666666666666667,0.4782844999014439,1.4974931075679099,-1.1883821667652228,2.070723408593892,0.16666666666666666,40.733208,-73.975685,2.8392856,477.0
5905.12,0.0,1.096220916775234e-11,1.096220916775234e-11,1.096220916775234e-11,1.2897129934929235e-06,0.0,40.734547,-73.99074,3.9166667,658.0
5905.14,3.5,1.1170761054280167,2.544732219529427,-2.382923894571983,4.1165227335466925,0.3333333333333333,40.734814,-73.99209,5.0119047,842.0
5914.03,0.8333333333333334,0.3490350256330809,0.6881942957606952,-0.48429830770025245,1.671017258861525,0.16666666666666666,40.735325,-73.998,2.0892856,351.0
5929.01,0.6666666666666666,0.2796476967972315,0.5116540538583649,-0.3870189698694351,1.5841279802383497,0.3333333333333333,40.736504,-73.978096,2.8095238,472.0
5938.11,0.8333333333333334,0.33051240350323496,0.7761408162938702,-0.5028209298300984,1.7384735132758824,0.16666666666666666,40.735367,-73.987976,1.5178572,255.0
5947.04,0.8333333333333334,0.3077443157962989,0.525597678827277,-0.5255890175370345,1.7699126845597206,0.6666666666666666,40.735443,-73.99431,2.1130953,355.0
5971.08,0.6666666666666666,0.15360296251795566,0.5799360621216086,-0.513063704148711,1.2167969558941725,0.16666666666666666,40.735878,-73.98205,1.9940476,335.0
5971.09,0.6666666666666666,0.3429174908299804,0.6697323410013875,-0.3237491758366862,1.6870021422753325,0.0,40.737167,-73.981224,1.9880953,334.0
5980.07,0.8333333333333334,0.8645633288830746,1.056748349578811,0.031229995549741336,2.980401048417468,0.3333333333333333,40.73705,-73.99009,3.9940476,671.0
5989.02,0.6666666666666666,0.5056010126609181,0.603946173145232,-0.1610656540057486,2.1583291593607945,0.16666666666666666,40.738045,-73.99643,3.392857,570.0
6004.06,0.5,0.0810615908952362,0.4366714994109013,-0.4189384091047638,1.5013297574207531,0.5,40.739445,-73.97681,2.922619,491.0
6022.04,0.5,0.3539642511148789,0.6971788623272914,-0.14603574888512108,1.8476039351367781,0.0,40.737263,-73.992386,2.482143,417.0
6030.04,1.0,0.5074971114784906,0.5933127355795781,-0.4925028885215094,2.1511861435305,0.6666666666666666,40.737816,-73.99995,2.1130953,355.0
6030.06,1.1666666666666667,0.31950195290604216,0.8642032112475135,-0.8471647137606245,1.8618804511762335,0.3333333333333333,40.739357,-73.99932,2.0416667,343.0
6039.06,0.8333333333333334,0.05135180216120716,0.7841648715446657,-0.7819815311721262,1.4553551187102052,0.16666666666666666,40.739323,-74.00812,2.2083333,371.0
6046.02,1.5,0.5137457250699905,0.9862542749300095,-0.9862542749300095,2.153672895804599,0.6666666666666666,40.739124,-73.97974,2.6904762,452.0
6055.08,0.6666666666666666,0.16767502825920624,0.5763528645184124,-0.4989916384074604,1.4605840506927923,0.16666666666666666,40.738274,-73.98752,1.8273809,307.0
6064.08,0.3333333333333333,0.28227776294799395,0.2088783930326675,-0.0510555703853394,1.5373809024289022,0.3333333333333333,40.73971,-73.99456,2.3690476,398.0
6072.06,0.5,0.27596707581127095,0.4111779177054207,-0.22403292418872903,1.8293801142519648,0.3333333333333333,40.739017,-74.00264,2.6904762,452.0
6072.11,1.3333333333333333,0.7600533029029369,1.1830935483406695,-0.5732800304303964,2.9580216481210706,0.5,40.740982,-74.0017,3.2440476,545.0
6079.03,1.3333333333333333,0.2456801639321687,1.0876531694011646,-1.0876531694011646,1.5158868343066654,0.5,40.741444,-73.97536,2.2380953,376.0
6089.07,0.6666666666666666,0.4747579875984229,0.5215094470380185,-0.19190867906824374,2.1408144369827844,0.3333333333333333,40.740257,-73.98409,2.3869047,401.0
6098.10,1.3333333333333333,0.5713388231891562,0.879277488665745,-0.7619945101441772,2.558392330415731,0.6666666666666666,40.739887,-73.989586,3.6130953,607.0
6098.12,1.5,0.23897764271672864,1.2610236203814036,-1.2610223572832713,1.5850635794113497,0.3333333333333333,40.738663,-73.989876,2.9107144,489.0
6115.06,0.3333333333333333,0.07188096466946566,0.40451339611945514,-0.2614523686638677,1.3118535724079134,0.0,40.74006,-74.00527,1.8154762,305.0
6122.09,2.0,0.8039752183697905,1.7211457192182327,-1.1960247816302096,2.8896578198546714,0.0,40.741722,-73.978096,2.7916667,469.0
6131.13,0.8333333333333334,0.14075874236429323,0.6929890806198576,-0.6925745909690401,1.324398789224792,0.3333333333333333,40.742752,-73.98472,1.7083334,287.0
6140.05,1.5,1.3220856011891253,0.9049330601204323,-0.17791439881087476,3.5172997873057597,0.6666666666666666,40.74174,-73.994156,6.6190476,1112.0
6148.02,0.6666666666666666,0.06208358270714598,0.6054076513808772,-0.6045830839595207,1.1750150783073465,0.3333333333333333,40.741776,-74.001495,1.2976191,218.0
6157.04,0.3333333333333333,6.205726808672374e-05,0.33338226949901223,-0.3332712760652466,0.8749185820321482,0.16666666666666666,40.74198,-74.008316,2.142857,360.0
6173.08,2.3333333333333335,0.6263157578195356,1.7070183179608496,-1.7070175755137977,2.8153748021164695,0.5,40.74287,-73.98919,4.642857,780.0
6182.02,0.0,0.0003854410533676855,0.0003854410533676855,0.0003854410533676855,1.209203799542043,0.0,40.74239,-73.99726,0.0,0.0
6190.08,0.16666666666666666,0.3506439022809597,0.223948905129267,0.18397723561429302,2.0453230604097237,0.16666666666666666,40.743176,-74.00366,2.0654762,347.0
6197.02,1.6666666666666667,0.5846111852163934,1.0822455662722252,-1.0820554814502732,2.3925382750664803,0.5,40.74291,-73.97706,2.857143,480.0
6197.08,1.5,0.9979484396268768,0.5023287975442751,-0.5020515603731232,3.207627870203396,0.8333333333333334,40.743225,-73.974495,4.797619,806.0
6206.08,0.6666666666666666,0.03553310974439228,0.6311562198937585,-0.6311335569222744,1.1230078771752214,0.6666666666666666,40.74445,-73.98303,1.7023809,286.0
6215.04,0.3333333333333333,0.2727227083314574,0.39054446135651233,-0.06061062500187594,1.6988823932046533,0.16666666666666666,40.743954,-73.99145,2.1607144,363.0
6224.03,0.16666666666666666,0.5875601916874681,0.4310564547146593,0.42089352502080146,2.260680004121241,0.16666666666666666,40.74475,-73.99915,2.3452382,394.0
6224.05,1.5,0.4802864388135883,1.2456249279396918,-1.0197135611864117,2.0519181006299996,0.3333333333333333,40.743454,-74.00004,2.5892856,435.0
6230.04,0.6666666666666666,0.0742310618811904,0.7408968842995473,-0.5924356047854763,0.9310289453449281,0.0,40.74422,-73.971214,1.9047619,320.0
6233.05,0.3333333333333333,0.02948123088272799,0.34749278421990465,-0.30385210245060534,1.1479977105129355,0.3333333333333333,40.74335,-74.00682,2.1845238,367.0
6239.08,1.3333333333333333,0.687002173014965,0.8288898179416719,-0.6463311603183683,2.496188350237427,0.3333333333333333,40.743942,-73.97966,2.9583333,497.0
6247.06,2.0,0.5164818960326253,1.4835181039673746,-1.4835181039673746,2.344529385501403,0.5,40.746647,-73.99391,3.017857,507.0
6257.03,0.8333333333333334,0.6186514588916907,0.46886043923344306,-0.21468187444164263,2.291261506093344,0.5,40.744877,-73.9953,3.202381,538.0
6266.06,1.5,0.6486343032726533,0.9015396869787461,-0.8513656967273467,2.5915783493817535,0.6666666666666666,40.7455,-74.00197,3.9404762,662.0
6289.06,0.16666666666666666,0.6767094969366857,0.510042830270019,0.510042830270019,2.7954451918956735,0.16666666666666666,40.7462,-73.988556,3.1488094,529.0
6297.02,1.0,0.5994194555581392,0.654559320275439,-0.4005805444418608,2.263598408044951,0.5,40.74735,-73.99724,2.5059524,421.0
6303.01,1.0,0.09690263338870864,0.9031412279894843,-0.9030973666112914,1.3301091127810547,0.5,40.74714,-73.97113,2.2619047,380.0
6306.01,1.1666666666666667,0.6140380061701762,0.5526591397360789,-0.5526286604964904,2.4646439515390135,0.6666666666666666,40.745686,-74.00514,2.3869047,401.0
6306.06,1.1666666666666667,0.3737457760037917,0.7929481223585148,-0.792920890662875,2.1002378533280024,0.6666666666666666,40.746918,-74.00452,3.0238094,508.0
6322.01,1.6666666666666667,0.49024831586818135,1.176468437088867,-1.1764183507984853,2.199227350067872,0.5,40.747658,-73.98491,2.3452382,394.0
6331.01,2.3333333333333335,1.092052264449497,1.2483685944850247,-1.2412810688838363,3.4319067594324224,0.8333333333333334,40.749157,-73.9916,5.214286,876.0
6345.08,1.1666666666666667,0.6138182730028348,0.6717321823586341,-0.5528483936638319,2.3574353024247237,0.5,40.74803,-73.97383,2.9464285,495.0
6364.07,2.0,1.4536069221794605,0.9683530715604624,-0.5463930778205395,4.1190023947395575,0.5,40.749012,-73.98849,5.107143,858.0
6364.10,1.5,0.8132503828286038,1.1239303550003872,-0.6867496171713962,3.117103504198326,0.5,40.74964,-73.98805,4.2559524,715.0
6382.05,2.8333333333333335,0.06795919081491775,2.9008056988792155,-2.7653741425184157,1.1168270633472457,0.16666666666666666,40.749718,-74.00295,2.0535715,345.0
6389.09,0.16666666666666666,0.016818213027363527,0.18301610530579637,-0.14984845363930313,1.2654076120228979,0.16666666666666666,40.7495,-73.977295,1.9642857,330.0
6416.06,0.6666666666666666,0.3560648082299546,0.6179453773899392,-0.31060185843671206,1.7757948341306171,0.3333333333333333,40.750072,-73.99839,2.3869047,401.0
6425.04,1.0,0.0013493965034285793,0.9994356461338612,-0.9986506034965714,1.5792363902408937,0.3333333333333333,40.751396,-74.005226,2.392857,402.0
6432.11,1.6666666666666667,0.2757479046640962,1.50388567595265,-1.3909187620025705,1.9091092550110085,0.16666666666666666,40.750755,-73.978325,3.9107144,657.0
6450.05,1.6666666666666667,0.606742530973861,1.482147932042911,-1.0599241356928057,2.5733003547880364,0.5,40.750584,-73.99468,3.375,567.0
6450.12,3.8333333333333335,0.9508941024541855,2.882439230879148,-2.882439230879148,3.324985810199602,0.5,40.751553,-73.993935,4.7440476,797.0
6459.04,1.1666666666666667,0.7278244001669615,0.5002782447142332,-0.43884226649970515,2.6477531051255405,0.6666666666666666,40.750664,-74.00177,2.9285715,492.0
6459.07,1.5,0.26785337801068937,1.2321694552694378,-1.2321466219893107,1.7289243554528853,0.5,40.752693,-74.00235,2.7619047,464.0
6464.09,0.6666666666666666,0.3027686133067012,0.5639051882102043,-0.36389805335996545,1.7326882910397927,0.5,40.752644,-73.975,2.672619,449.0
6517.08,1.1666666666666667,0.5421059045517419,0.7341978607334264,-0.6245607621149247,2.3825139865860856,0.5,40.75492,-73.98455,1.6904762,284.0
6526.05,1.5,0.5022492760860283,0.9978490724606672,-0.9977507239139717,2.2655416238482267,0.5,40.75461,-73.99177,3.952381,664.0
6535.04,0.3333333333333333,0.12153183345088318,0.3741666792146579,-0.21180149988245014,1.063086916081369,0.16666666666666666,40.75517,-74.0006,2.75,462.0
6551.02,1.1666666666666667,0.2049868823355041,1.168375375310859,-0.9616797843311625,1.4924396813265546,0.0,40.755,-73.98014,2.7916667,469.0
6560.01,1.1666666666666667,0.5574064367174287,0.6206036719837963,-0.6092602299492379,2.7675020167470925,0.5,40.755135,-73.98658,2.5714285,432.0
